"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hsa_executable_load_agent_code_object,3,176555562,58851854,76.05596929570565
hsa_queue_create,5,23992124,4798424,10.335240791127061
hsa_amd_agents_allow_access,10,11370940,1137094,4.8983325912061115
hsa_memory_allocate,19,4740894,249520,2.0422652473457346
hsa_system_get_info,5002,4375243,874,1.8847514261218863
hsa_queue_destroy,4,3551055,887763,1.529710687037784
hsa_executable_freeze,3,2506690,835563,1.0798228926588698
hsa_amd_memory_pool_allocate,10,1591471,159147,0.6855681471592834
hsa_memory_free,17,1079885,63522,0.4651889720862666
hsa_agent_get_info,254,762157,3000,0.32831924825176073
hsa_amd_memory_lock_to_pool,1,382379,382379,0.1647198488333244
hsa_isa_get_info_alt,32,197964,6186,0.08527821913452421
hsa_signal_load_scacquire,477,178774,374,0.07701162002967929
hsa_signal_store_relaxed,6,148583,24763,0.06400604975482921
hsa_amd_queue_set_priority,2,130383,65191,0.05616591928540881
hsa_executable_destroy,2,127873,63936,0.05508467052286786
hsa_code_object_reader_create_from_memory,3,93453,31151,0.04025734685487609
hsa_region_get_info,116,54450,469,0.023455774948348402
hsa_signal_create,28,45030,1608,0.019397861265824216
hsa_system_get_major_extension_table,3,42851,14283,0.01845919949149086
hsa_executable_symbol_get_info,72,33750,468,0.01453870348038124
hsa_agent_iterate_regions,25,27871,1114,0.012006169028198684
hsa_amd_memory_pool_get_info,42,19081,454,0.00821964447730828
hsa_iterate_agents,6,17780,2963,0.007659204381664547
hsa_executable_create_alt,3,16060,5353,0.006918268974664377
hsa_agent_iterate_isas,6,13730,2288,0.005914559964018798
hsa_amd_agent_iterate_memory_pools,11,13700,1245,0.0059016366720362375
hsa_executable_agent_global_variable_define,6,13191,2198,0.005682371484732117
hsa_signal_destroy,8,11230,1403,0.004837618965472039
hsa_amd_agent_memory_pool_get_info,24,9600,400,0.004135453434419553
hsa_executable_get_symbol_by_name,12,8140,678,0.003506519891268246
hsa_executable_iterate_agent_symbols,6,7550,1258,0.003252361815611211
hsa_queue_add_write_index_scacq_screl,6,6430,1071,0.002769892248262263
hsa_amd_profiling_async_copy_enable,1,5780,5780,0.002489887588640106
hsa_queue_load_read_index_scacquire,6,3220,536,0.0013871000061282251
hsa_code_object_reader_destroy,2,2040,1020,0.000878783854814155
hsa_init,1,1710,1710,0.0007366276430059829
hsa_amd_profiling_set_profiler_enabled,1,370,370,0.00015938726778492028
hsa_dispatch,6,0,0,0.0
